n,p,k,temperature,humidity,ph,soil_quality
122,64,48,30.54878375,60.76889725,6.492188235,Medium
71,93,43,39.16161093,71.48058897,6.414072428,Medium
112,61,24,24.28955248,49.02451202,5.615723548,Medium
34,53,15,15.80734125,68.91819224,7.55712798,Poor
126,94,75,26.14719889,57.58257039,5.823351701,Poor
91,65,97,28.59823906,64.22619931,6.271548137,Medium
80,64,65,35.02468522,65.43456622,6.468538958,Good
40,96,58,33.215012,79.44904121,7.363243222,Medium
122,79,10,39.11656702,69.37957641,6.326773254,Medium
102,86,74,34.56706901,45.85840153,6.722363847,Good
106,96,37,22.46571093,33.57626047,6.48608238,Medium
94,82,29,31.03450777,30.11913264,6.217242799,Medium
94,90,57,31.80602983,84.26504309,7.676497095,Medium
107,75,81,39.95051287,86.52660311,7.332816665,Medium
136,28,74,18.46844778,35.64668926,5.901011808,Poor
119,92,99,19.78313757,59.2232171,6.77582457,Medium
123,16,60,18.8878411,39.09571221,7.332088274,Poor
43,72,52,29.72650285,86.9249452,6.833516937,Medium
22,51,58,18.38252681,44.80995101,6.635692372,Medium
41,51,34,31.40019272,60.09882574,5.665736614,Medium
72,68,83,35.09435127,39.9372115,5.743953384,Medium
21,29,85,25.81982311,49.96566507,6.064050931,Medium
107,82,50,29.01712705,46.00838166,6.68081239,Good
127,26,80,37.81805208,58.52556258,7.770782375,Poor
49,36,73,29.23914794,55.18691772,7.345212242,Good
57,56,70,20.2151388,49.84786768,5.753117301,Medium
21,11,21,23.57984496,36.35265706,7.149696606,Poor
83,72,90,28.24614508,59.06922132,7.36408408,Good
79,71,78,18.87244214,81.01248109,6.45280554,Medium
40,28,23,30.31299588,73.8134002,6.259339534,Medium
52,26,43,39.9811523,73.23449305,6.844614739,Medium
95,78,57,31.31337412,51.9655042,6.694053176,Good
77,48,70,24.3102786,72.50514484,6.109991293,Good
41,91,90,23.29366229,57.93188888,6.41396901,Medium
127,80,44,38.29008307,39.01656545,6.752206287,Medium
108,90,74,36.78785726,55.142985,6.833826042,Good
68,48,68,26.8089655,37.96431786,6.7230239,Medium
110,45,45,23.83536411,36.86896913,7.446047276,Medium
78,49,88,32.76160709,31.38355851,5.573013592,Medium
61,54,28,22.86256189,46.97125806,6.265862465,Medium
111,13,51,17.98508081,49.85248705,7.224617312,Medium
79,34,78,22.75380531,71.96662278,6.999099987,Good
99,78,28,25.85739955,62.28028709,7.612013247,Medium
34,39,48,21.3852844,81.50698272,6.852448366,Medium
81,85,78,20.42034315,40.5882376,6.967747084,Good
81,77,61,15.15350407,45.95739875,7.121378468,Good
66,97,21,30.77106954,86.46456667,5.928261378,Poor
81,38,92,30.36122356,56.64271487,7.232461227,Medium
70,82,56,19.70063094,77.34305658,6.189746169,Good
127,77,85,38.5912518,59.53005892,6.476352714,Medium
74,60,45,25.23927255,58.26513942,5.532214954,Medium
135,33,72,15.63698584,38.88697728,7.440201641,Medium
83,23,85,20.49429793,81.07197666,7.693033656,Poor
22,78,91,32.30168711,34.70131683,5.638439188,Poor
120,27,60,20.04049747,48.61566568,6.960960413,Medium
70,51,52,16.34781147,70.4080843,7.709790955,Medium
26,66,43,30.44265553,60.43545305,6.895871813,Medium
40,92,58,27.95886976,82.88269962,7.335287271,Medium
92,21,27,34.0316459,32.35787717,5.771696205,Poor
58,91,70,34.31578471,68.96445117,6.063154478,Medium
37,26,66,38.99838134,58.64792824,6.295190169,Medium
23,39,14,16.4254386,39.25870941,7.756683294,Poor
108,97,98,15.9747355,74.59511443,7.298089332,Medium
79,84,33,39.6799262,54.67841132,7.5370246,Medium
33,32,73,31.12119694,61.89491425,6.620275765,Medium
133,90,68,32.88426349,88.03596398,7.148652319,Medium
28,10,47,17.41205049,59.17380486,7.182599369,Medium
109,88,42,16.74531727,79.40237193,6.80852304,Good
72,41,19,19.00633985,76.1746514,7.519329047,Medium
21,18,46,25.67989007,69.76527549,5.86397782,Poor
103,24,96,17.75440457,83.8087286,5.632295287,Poor
111,37,20,26.15834351,45.09609882,6.19932994,Medium
130,33,33,29.03839758,79.24627389,5.703025164,Medium
79,69,97,15.0083242,52.6672493,5.638727174,Medium
90,44,80,17.85614077,78.7494534,6.463906533,Good
63,95,30,24.37987979,59.62732107,5.961163075,Medium
27,36,29,16.33324482,81.46255518,7.317339243,Poor
66,92,19,18.33822433,83.69061226,6.833504088,Poor
54,85,98,20.79490976,65.85863254,6.329363556,Medium
97,29,56,25.74003535,60.45761741,6.159051526,Medium
100,74,56,32.87092995,76.9968086,6.795217761,Good
55,94,24,18.3172153,46.01917219,6.498204827,Medium
69,58,53,33.4489643,30.92092087,5.628190915,Medium
123,10,71,36.37651824,54.42567497,7.029938406,Medium
23,19,15,31.28696917,60.46644797,6.649442452,Poor
21,56,75,16.09314239,47.83576317,6.136869069,Medium
25,68,85,26.01634217,53.0017129,6.167954738,Medium
73,71,13,31.50165004,37.98349397,6.541404565,Medium
125,95,32,39.46282837,46.6373942,7.403462663,Medium
23,27,22,38.7952097,44.40572087,6.473016335,Poor
73,55,90,24.89257886,48.05921123,7.431035913,Good
112,41,40,30.39827681,47.94324663,6.477185391,Good
82,36,25,37.27037868,63.53810226,7.408800281,Medium
37,27,50,35.77615618,45.03581641,7.642518918,Poor
109,48,99,26.98554585,86.4576758,5.547319921,Poor
63,58,10,21.53103327,60.67648982,5.643175948,Medium
53,91,21,18.42749867,37.73796038,5.80824438,Poor
93,53,65,27.19950388,46.77637623,5.780877103,Medium
81,81,59,33.07114688,73.78544977,6.545299132,Good
